ascension_code,facility,item,n_answered
26012,Sacred Heart Pensacola,SP,1204
26012,Sacred Heart Pensacola,WA,1205
26012,Sacred Heart Pensacola,A1,1192
26012,Sacred Heart Pensacola,A2,1186
26012,Sacred Heart Pensacola,A3,1136
26012,Sacred Heart Pensacola,A4,1169
26012,Sacred Heart Pensacola,A5,1130
26012,Sacred Heart Pensacola,A6,1170
26012,Sacred Heart Pensacola,A7,1131
26012,Sacred Heart Pensacola,A8,1171
26012,Sacred Heart Pensacola,A9,1163
26012,Sacred Heart Pensacola,A10,1159
26012,Sacred Heart Pensacola,A11,1152
26012,Sacred Heart Pensacola,A12,1126
26012,Sacred Heart Pensacola,A13,1121
26012,Sacred Heart Pensacola,A14,1129
26012,Sacred Heart Pensacola,B1,1157
26012,Sacred Heart Pensacola,B2,1158
26012,Sacred Heart Pensacola,B3,1152
26012,Sacred Heart Pensacola,C1,1115
26012,Sacred Heart Pensacola,C2,1113
26012,Sacred Heart Pensacola,C3,1091
26012,Sacred Heart Pensacola,C4,1118
26012,Sacred Heart Pensacola,C5,980
26012,Sacred Heart Pensacola,C6,1054
26012,Sacred Heart Pensacola,C7,1092
26012,Sacred Heart Pensacola,D1,857
26012,Sacred Heart Pensacola,D2,872
26012,Sacred Heart Pensacola,D3,1151
26012,Sacred Heart Pensacola,E1,1151
26012,Sacred Heart Pensacola,F1,1119
26012,Sacred Heart Pensacola,F2,1120
26012,Sacred Heart Pensacola,F3,1104
26012,Sacred Heart Pensacola,F4,974
26012,Sacred Heart Pensacola,F5,963
26012,Sacred Heart Pensacola,F6,964
26012,Sacred Heart Pensacola,G1,1145
26012,Sacred Heart Pensacola,G2,1145
26012,Sacred Heart Pensacola,G3,1144
26012,Sacred Heart Pensacola,G4,1144
26012,Sacred Heart Pensacola,H1,1137
26012,Sacred Heart Pensacola,H2,1135
26013,Sacred Heart Gulf,SP,47
26013,Sacred Heart Gulf,WA,47
26013,Sacred Heart Gulf,A1,47
26013,Sacred Heart Gulf,A2,47
26013,Sacred Heart Gulf,A3,47
26013,Sacred Heart Gulf,A4,46
26013,Sacred Heart Gulf,A5,45
26013,Sacred Heart Gulf,A6,46
26013,Sacred Heart Gulf,A7,45
26013,Sacred Heart Gulf,A8,47
26013,Sacred Heart Gulf,A9,47
26013,Sacred Heart Gulf,A10,46
26013,Sacred Heart Gulf,A11,47
26013,Sacred Heart Gulf,A12,46
26013,Sacred Heart Gulf,A13,45
26013,Sacred Heart Gulf,A14,47
26013,Sacred Heart Gulf,B1,46
26013,Sacred Heart Gulf,B2,47
26013,Sacred Heart Gulf,B3,45
26013,Sacred Heart Gulf,C1,47
