business_unit_id,business_unit_name,location_name,department_name,respondents,dominant_ahca_wa,wa_label,domain_code,wa_purity,distinct_wa_codes
"","","","",4,1,"Many Different Hospital Units, No Specific Unit",,25%,1:1 8:1 18:1 16:1
26012,FLPEN Sacred Heart Hosp Pens,ASH Corner of Twelfth & Summit,Diagnostic Rad Amb 004,2,21,Radiology/ Imaging,RADI,100%,21:2
26012,FLPEN Sacred Heart Hosp Pens,ASH PBP Lynn Haven,PBP Oncology 004,1,10,"Oncology, Hematology",,100%,10:1
26012,FLPEN Sacred Heart Hosp Pens,ASH Rehab Gulf Breeze,Rehab Administration 001,1,34,Other,,100%,34:1
26012,FLPEN Sacred Heart Hosp Pens,ASH Rehab Pensacola,Rehab Administration 001,1,34,Other,,100%,34:1
26012,FLPEN Sacred Heart Hosp Pens,Airport Medical Park,Diagnostic Radiology Airport,2,21,Radiology/ Imaging,RADI,100%,21:2
26012,FLPEN Sacred Heart Hosp Pens,Bldg Properties Admin,Sterile Processing 001,1,34,Other,,100%,34:1
26012,FLPEN Sacred Heart Hosp Pens,Carmel Heights Building,Auxiliary,1,24,Admin/Mgmt,ADMN,100%,24:1
26012,FLPEN Sacred Heart Hosp Pens,Carmel Heights Building,Patient Education,1,1,"Many Different Hospital Units, No Specific Unit",,100%,1:1
26012,FLPEN Sacred Heart Hosp Pens,FL - Jacksonville - Offsite,HIM Coding Documentation,1,34,Other,,100%,34:1
26012,FLPEN Sacred Heart Hosp Pens,FL - Pensacola - Offsite,HIM Coding Documentation,1,27,"Information Technology, Health Information Management, Clinical Informatics",,100%,27:1
26012,FLPEN Sacred Heart Hosp Pens,Freestanding ER?? Dept 001,Freestanding ER Dept 001,37,6,ED/Short Stay,EDPT,81%,6:30 21:5 22:1 1:1
26012,FLPEN Sacred Heart Hosp Pens,Freestanding ER?? Dept 002,Freestanding ER Dept 002,17,6,ED/Short Stay,EDPT,65%,6:11 21:4 22:2
26012,FLPEN Sacred Heart Hosp Pens,Professional Office Building,Grants Early Steps,2,1,"Many Different Hospital Units, No Specific Unit",,50%,1:1 34:1
26012,FLPEN Sacred Heart Hosp Pens,SH Medical Oncology Grp Airpor,Medical Oncology Airport,2,25,"Financial Services, Billing",ADMN,50%,25:1 34:1
26012,FLPEN Sacred Heart Hosp Pens,SH Medical Oncology Grp Destin,Medical Oncology Destin,1,34,Other,,100%,34:1
26012,FLPEN Sacred Heart Hosp Pens,SHMG Ortho Rehab,Rehab Services Ambulatory 001,1,14,Rehab/Phys Med,REHB,100%,14:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Admin Pediatric Svcs 001,5,1,"Many Different Hospital Units, No Specific Unit",,40%,1:2 24:2 34:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Ambulance Ground Peds,1,34,Other,,100%,34:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Emergency Department Peds,14,6,ED/Short Stay,EDPT,93%,6:13 11:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Infusion Services 001,1,34,Other,,100%,34:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Mother Baby Unit 001,1,9,Labor & Deliv/Ob,,100%,9:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Neonatal ICU,51,11,"Peds, NICU, PICU",PEDS,98%,11:50 8:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Neonatal ICU Unit 002,36,11,"Peds, NICU, PICU",PEDS,100%,11:36
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Pediatric ICU Unit 001,12,11,"Peds, NICU, PICU",PEDS,100%,11:12
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Pediatric Rehab Services,4,11,"Peds, NICU, PICU",PEDS,75%,11:3 1:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Pediatric Rehab Svcs 002,1,11,"Peds, NICU, PICU",PEDS,100%,11:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Pediatric Support Svcs 001,1,10,"Oncology, Hematology",,100%,10:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Peds Acute Care,35,11,"Peds, NICU, PICU",PEDS,83%,11:29 4:2 34:1 2:1 1:1 10:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Peds Surgery 001,7,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,86%,18:6 4:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Respiratory Care Pediatrics,18,11,"Peds, NICU, PICU",PEDS,61%,11:11 22:3 1:2 19:1 34:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Heart Children's Hsptl,Surgery Recovery Room 001,8,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,88%,18:7 16:1
