A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,B01,B02,B03,C01,C02,C03,C04,C05,C06,C07,D01,D02,D03,E01,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,WA,SP,TEAM,VENDOR_UID,RESPONDED_AT
5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,3,5,5,5,1,5,5,5,2,2,3,1,4,4,Med Surg Unit,b5371109ca1fa58776ab81dbbedbb79e,2024-09-03 02:01:13
5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,,,,4,4,2,1,25,24,Administration,27599d11b959eb36ea2f464a0909ea58,2024-09-03 05:55:39
5,2,3,5,,5,5,5,4,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,2,5,5,5,3,4,,,2,2,2,1,18,4,Surgery,dbb3d5c7b8126fda299af51890dfffc3,2024-09-03 06:04:10
4,2,3,4,4,4,4,5,4,5,3,4,4,4,5,4,4,5,5,5,4,4,5,4,5,5,2,5,4,4,4,3,3,3,3,3,2,1,18,4,Recovery Room,636bbf292380e3ce2bb94e90d1318d5a,2024-09-03 06:07:11
5,2,3,5,4,4,4,5,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,1,5,5,5,5,5,4,,1,1,2,1,18,4,Recovery Room,f0204c8eb953bcaa4d8540c541c9c718,2024-09-03 06:10:04
5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,,,4,5,5,1,4,5,5,4,4,4,4,3,3,2,2,1,15,Auxiliary,fc36effd5f38dbd1ecdb15211f9329f2,2024-09-03 09:21:54
5,5,1,5,4,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,4,,5,5,5,5,1,5,5,5,3,5,5,5,2,2,1,1,22,12,Respiratory Care 001,898e19138617cf2629b2dc5800d8165f,2024-09-03 10:25:49
5,4,5,4,4,4,4,4,5,4,5,4,5,5,4,5,4,5,5,5,5,5,5,5,,,2,5,4,4,4,,,,1,1,2,1,14,10,Rehab Services General OP 001,a32dd39267bb6886429a20822aeab6d0,2024-09-03 11:20:09
5,4,4,,5,4,,4,5,4,4,4,,4,5,5,5,4,4,5,5,5,4,4,,4,2,5,5,5,4,4,4,4,4,4,1,1,1,12,Respiratory Care 001,9788f2f59d0ccb38949ce8e1ba7097eb,2024-09-03 12:30:51
4,4,4,4,3,4,4,4,3,4,5,4,4,4,4,4,4,4,4,3,5,5,5,4,5,5,3,5,5,5,5,5,5,5,2,2,2,1,2,4,Med Surg Unit,ec5ccff85fb297312b676c9522e72460,2024-09-03 18:42:44
5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,5,5,4,4,,,3,3,3,1,18,15,Surgery,6b72ebdcedfff41797dedc98ffc29d2d,2024-09-04 05:48:59
5,3,5,4,4,5,5,5,4,4,4,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,5,,,2,2,1,1,4,24,Surgery,066681dbcace67dfc4940e486cd5e872,2024-09-04 07:05:01
2,1,5,5,1,5,2,3,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4,4,5,5,2,2,2,1,21,14,Diagnostic Radiology,cd93882381ca37f7a7c5a83f9ed6c482,2024-09-04 08:40:52
4,4,4,2,3,3,2,5,4,2,4,2,3,3,3,2,2,2,2,2,4,3,3,4,2,4,4,3,3,3,2,2,2,4,4,4,2,1,6,4,Emergency Department,5249b8ecbb6a12df4a94f8972a06f1c9,2024-09-04 12:23:42
5,4,4,3,4,3,3,5,4,3,4,3,3,3,4,4,4,3,4,3,4,,,4,,,2,3,4,4,4,4,4,4,2,4,2,1,22,12,Respiratory Care 001,5230589c783c0e79a2f750d1f11a8209,2024-09-05 00:23:30
4,4,4,5,4,4,4,4,4,4,5,4,4,4,5,2,5,5,5,5,4,5,5,5,4,5,2,5,5,5,5,4,4,5,3,3,2,1,24,4,Administration,0b1c4d6eada9a3f321494604b0e3a2f7,2024-09-05 23:45:00
4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,3,3,3,4,,3,5,5,5,2,4,4,4,4,4,4,4,2,2,2,1,6,4,Emergency Department,0d271d8687f915ae733204fc92004fa9,2024-09-05 23:48:53
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,3,3,3,3,3,3,2,2,2,1,6,4,Emergency Department,c924a5b6593019cfb0de5b30aff49297,2024-09-05 23:50:10
5,4,3,5,4,4,4,5,5,4,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,4,4,4,4,2,2,2,1,2,4,Med Surg Unit,eff3cedda26388fb1fe55a7b3508933d,2024-09-06 00:22:05
5,5,4,5,,4,4,5,5,5,5,5,4,4,5,4,,4,4,4,4,4,4,4,5,5,1,4,5,5,4,,,,2,2,2,2,34,24,Materials Management,6a773f1bdff851e8c7edd9dbeca5df58,2024-09-06 04:46:47
4,5,4,3,4,5,5,5,5,4,3,3,4,5,5,4,4,4,3,3,5,5,5,4,3,5,2,5,5,4,4,4,4,5,3,3,1,1,6,4,Emergency Department,31fddd69463eeec3ea88d7499ecb8c92,2024-09-06 04:58:05
5,5,4,4,5,3,3,4,4,4,4,4,4,4,5,5,5,4,5,5,4,4,5,4,3,5,3,4,5,5,5,4,,,2,2,2,1,21,14,Nuclear Medicine 001,be8b05d295e83d0eeba48357fd267cf7,2024-09-06 08:53:26
