business_unit_id,location_name,department_name,respondents,dominant_ahca_wa,wa_matched_respondents
26012,ASH Corner of Twelfth & Summit,Diagnostic Rad Amb 004,2,21,2
26012,ASH PBP Lynn Haven,PBP Oncology 004,1,10,1
26012,ASH Rehab Gulf Breeze,Rehab Administration 001,1,34,1
26012,ASH Rehab Pensacola,Rehab Administration 001,1,34,1
26012,Airport Medical Park,Diagnostic Radiology Airport,2,21,2
26012,Bldg Properties Admin,Sterile Processing 001,1,34,1
26012,Carmel Heights Building,Auxiliary,1,24,1
26012,Carmel Heights Building,Patient Education,1,1,1
26012,FL - Jacksonville - Offsite,HIM Coding Documentation,1,34,1
26012,FL - Pensacola - Offsite,HIM Coding Documentation,1,27,1
26012,Freestanding ER?? Dept 001,Freestanding ER Dept 001,37,6,37
26012,Freestanding ER?? Dept 002,Freestanding ER Dept 002,17,6,17
26012,Professional Office Building,Grants Early Steps,2,1,2
26012,SH Medical Oncology Grp Airpor,Medical Oncology Airport,2,25,2
26012,SH Medical Oncology Grp Destin,Medical Oncology Destin,1,34,1
26012,SHMG Ortho Rehab,Rehab Services Ambulatory 001,1,14,1
26012,Sacred Heart Children's Hsptl,Admin Pediatric Svcs 001,5,1,5
26012,Sacred Heart Children's Hsptl,Ambulance Ground Peds,1,34,1
26012,Sacred Heart Children's Hsptl,Emergency Department Peds,14,6,14
26012,Sacred Heart Children's Hsptl,Infusion Services 001,1,34,1
26012,Sacred Heart Children's Hsptl,Mother Baby Unit 001,1,9,1
26012,Sacred Heart Children's Hsptl,Neonatal ICU,51,11,51
26012,Sacred Heart Children's Hsptl,Neonatal ICU Unit 002,36,11,36
26012,Sacred Heart Children's Hsptl,Pediatric ICU Unit 001,12,11,12
26012,Sacred Heart Children's Hsptl,Pediatric Rehab Services,4,11,4
26012,Sacred Heart Children's Hsptl,Pediatric Rehab Svcs 002,1,11,1
26012,Sacred Heart Children's Hsptl,Pediatric Support Svcs 001,1,10,1
26012,Sacred Heart Children's Hsptl,Peds Acute Care,35,11,35
26012,Sacred Heart Children's Hsptl,Peds Surgery 001,7,18,7
26012,Sacred Heart Children's Hsptl,Respiratory Care Pediatrics,18,11,18
26012,Sacred Heart Children's Hsptl,Surgery Recovery Room 001,8,18,8
26012,Sacred Heart Residency,Resident Mgmt Suprt Srvcs 001,2,26,2
26012,Sacred Hrt Hosp Pensacola,Administration,7,24,7
26012,Sacred Hrt Hosp Pensacola,Adult ECMO 001,2,8,2
26012,Sacred Hrt Hosp Pensacola,Anesthesiology,1,34,1
26012,Sacred Hrt Hosp Pensacola,Auxiliary,3,34,3
26012,Sacred Hrt Hosp Pensacola,Bariatric Surgical Unit 001,11,2,11
26012,Sacred Hrt Hosp Pensacola,Cardiac Care,47,5,47
26012,Sacred Hrt Hosp Pensacola,Cardiac Cath Lab,10,34,10
26012,Sacred Hrt Hosp Pensacola,Cardiology Services Admin,4,18,4
26012,Sacred Hrt Hosp Pensacola,Case Mgmt,17,23,17
26012,Sacred Hrt Hosp Pensacola,Computerized Tomography CT,8,21,8
26012,Sacred Hrt Hosp Pensacola,Diagnostic Radiology,6,21,6
26012,Sacred Hrt Hosp Pensacola,EEG,2,1,2
26012,Sacred Hrt Hosp Pensacola,Electrocardiography EKG,21,21,21
26012,Sacred Hrt Hosp Pensacola,Emergency Department,71,6,71
26012,Sacred Hrt Hosp Pensacola,Endoscopy GI Lab Gastro,7,17,7
26012,Sacred Hrt Hosp Pensacola,Float Staffing 001,41,1,41
26012,Sacred Hrt Hosp Pensacola,Float Staffing 002,5,11,5
26012,Sacred Hrt Hosp Pensacola,Freestanding ER Dept 001,1,6,1
26012,Sacred Hrt Hosp Pensacola,HIM Coding Documentation,4,34,4
26012,Sacred Hrt Hosp Pensacola,Imaging Administration,5,21,5
26012,Sacred Hrt Hosp Pensacola,Infection Control,5,28,5
26012,Sacred Hrt Hosp Pensacola,Infusion Ambulatory 001,5,34,5
26012,Sacred Hrt Hosp Pensacola,Intensive Care Unit,26,8,26
26012,Sacred Hrt Hosp Pensacola,Interventional Radiology,9,34,9
26012,Sacred Hrt Hosp Pensacola,Labor and Delivery,26,9,26
26012,Sacred Hrt Hosp Pensacola,Magnetic Resonance Imaging MRI,7,21,7
26012,Sacred Hrt Hosp Pensacola,Materials Management,7,34,7
26012,Sacred Hrt Hosp Pensacola,Monitor Room 001,10,15,10
26012,Sacred Hrt Hosp Pensacola,Mother Baby Unit 001,23,9,23
26012,Sacred Hrt Hosp Pensacola,Neonatal ICU,1,11,1
26012,Sacred Hrt Hosp Pensacola,Neonatal ICU Unit 002,3,11,3
26012,Sacred Hrt Hosp Pensacola,Neuro Science Unit,32,2,32
26012,Sacred Hrt Hosp Pensacola,Neuro Support Svcs 001,2,1,2
26012,Sacred Hrt Hosp Pensacola,Neuro Trauma ICU 001,38,8,38
26012,Sacred Hrt Hosp Pensacola,Nuclear Medicine 001,1,21,1
26012,Sacred Hrt Hosp Pensacola,Nurse Staffing 001,7,1,7
26012,Sacred Hrt Hosp Pensacola,Nursing Administration,6,24,6
26012,Sacred Hrt Hosp Pensacola,Nursing Unit 001,32,2,32
26012,Sacred Hrt Hosp Pensacola,Nursing Unit 002,21,2,21
26012,Sacred Hrt Hosp Pensacola,OB High Risk Unit 001,24,9,24
26012,Sacred Hrt Hosp Pensacola,Observation,11,6,11
26012,Sacred Hrt Hosp Pensacola,Observation Unit 002,40,6,40
26012,Sacred Hrt Hosp Pensacola,Observation Unit 003,8,6,8
26012,Sacred Hrt Hosp Pensacola,Oncology Unit 001,38,10,38
26012,Sacred Hrt Hosp Pensacola,Orthopedics Unit 001,19,4,19
26012,Sacred Hrt Hosp Pensacola,Ostomy 001,4,1,4
26012,Sacred Hrt Hosp Pensacola,Pastoral Care Spiritual Care,2,34,2
26012,Sacred Hrt Hosp Pensacola,Pat Ed Womens and Childrens,4,1,4
26012,Sacred Hrt Hosp Pensacola,Pediatric Support Svcs 001,1,4,1
26012,Sacred Hrt Hosp Pensacola,Physical Therapy,28,1,28
26012,Sacred Hrt Hosp Pensacola,Pre Surgery,10,18,10
26012,Sacred Hrt Hosp Pensacola,Recovery Room,20,18,20
26012,Sacred Hrt Hosp Pensacola,Rehab Administration 001,2,24,2
26012,Sacred Hrt Hosp Pensacola,Respiratory Care 001,24,1,24
26012,Sacred Hrt Hosp Pensacola,Stepdown Intermediate Care,26,34,26
26012,Sacred Hrt Hosp Pensacola,Stepdown Intermediate Care 002,38,5,38
26012,Sacred Hrt Hosp Pensacola,Sterile Processing 001,16,34,16
26012,Sacred Hrt Hosp Pensacola,Surgery,49,18,49
26012,Sacred Hrt Hosp Pensacola,Surgery Ambulatory 001,5,18,5
26012,Sacred Hrt Hosp Pensacola,Surgical Services Admin 001,2,34,2
26012,Sacred Hrt Hosp Pensacola,Total Quality Management,7,28,7
26012,Sacred Hrt Hosp Pensacola,Trauma Services Surgery,3,34,3
26012,Sacred Hrt Hosp Pensacola,Ultrasound,7,21,7
26012,Sacred Hrt Hosp Pensacola,Ultrasound 003,10,21,10
26012,Sacred Hrt Hosp Pensacola,Utilization Mgmt 001,2,34,2
26012,Sacred Hrt Hosp Pensacola,Vascular Access,1,1,1
26012,UF OB Residency,Residency OBGYN,1,34,1
26013,SHH Gulf,Administration,5,1,5
26013,SHH Gulf,Auxiliary,1,1,1
26013,SHH Gulf,Computerized Tomography CT,1,21,1
26013,SHH Gulf,Diagnostic Radiology,2,21,2
26013,SHH Gulf,Electrocardiography EKG,1,21,1
26013,SHH Gulf,Emergency Department,11,6,11
26013,SHH Gulf,Materials Management,1,34,1
26013,SHH Gulf,Med Surg Unit,8,2,8
26013,SHH Gulf,Nuclear Medicine 001,1,21,1
26013,SHH Gulf,Recovery Room,2,18,2
26013,SHH Gulf,Rehab Services General OP 001,2,14,2
26013,SHH Gulf,Respiratory Care 001,8,1,8
26013,SHH Gulf,Surgery,3,18,3
