business_unit_id,business_unit_name,location_name,department_name,respondents
,,"","",154
26010,FLPEN MSO,SHH Emerald Coast,Nurse Education 002,2
26010,FLPEN MSO,SHH PanamaCty BayMedical,Employee Education 004,5
26010,FLPEN MSO,SHH PanamaCty BayMedical,Nurse Education 002,1
26010,FLPEN MSO,Sacred Hrt Hosp Pensacola,Administration,2
26010,FLPEN MSO,Sacred Hrt Hosp Pensacola,Employee Education 004,7
26010,FLPEN MSO,Sacred Hrt Hosp Pensacola,Medical Affairs Administration,1
26010,FLPEN MSO,Sacred Hrt Hosp Pensacola,Other Patient Sprt Svcs 001,8
26010,FLPEN MSO,Sacred Hrt Hosp Pensacola,Other Research 002,1
26010,FLPEN MSO,Sacred Hrt Hosp Pensacola,Patient Logistics 001,2
26010,FLPEN MSO,Sacred Hrt Hosp Pensacola,Research Cardiology Series 001,1
26010,FLPEN MSO,Sacred Hrt Hosp Pensacola,Research Pediatric 001,1
26012,FLPEN Sacred Heart Hosp Pens,ASH Corner of Twelfth & Summit,Diagnostic Rad Amb 004,2
26012,FLPEN Sacred Heart Hosp Pens,ASH PBP Lynn Haven,PBP Oncology 004,1
26012,FLPEN Sacred Heart Hosp Pens,ASH Rehab Gulf Breeze,Rehab Administration 001,1
26012,FLPEN Sacred Heart Hosp Pens,ASH Rehab Pensacola,Rehab Administration 001,1
26012,FLPEN Sacred Heart Hosp Pens,Airport Medical Park,Diagnostic Radiology Airport,2
26012,FLPEN Sacred Heart Hosp Pens,Bldg Properties Admin,Sterile Processing 001,1
26012,FLPEN Sacred Heart Hosp Pens,Carmel Heights Building,Auxiliary,1
26012,FLPEN Sacred Heart Hosp Pens,Carmel Heights Building,Patient Education,1
26012,FLPEN Sacred Heart Hosp Pens,FL - Jacksonville - Offsite,HIM Coding Documentation,1
26012,FLPEN Sacred Heart Hosp Pens,FL - Pensacola - Offsite,HIM Coding Documentation,1
26012,FLPEN Sacred Heart Hosp Pens,Freestanding ER?? Dept 001,Freestanding ER Dept 001,37
26012,FLPEN Sacred Heart Hosp Pens,Freestanding ER?? Dept 002,Freestanding ER Dept 002,17
26012,FLPEN Sacred Heart Hosp Pens,Professional Office Building,Grants Early Steps,2
