A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,B01,B02,B03,C01,C02,C03,C04,C05,C06,C07,D01,D02,D03,E01,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,WA,SP,TEAM,VENDOR_UID,RESPONDED_AT
4,5,1,4,2,4,4,5,1,3,2,4,3,2,4,1,4,4,4,4,5,5,4,2,4,5,4,4,3,4,4,4,4,5,1,1,3,1,8,4,Neuro Trauma ICU 001,efc72860b6a8e7bb0ec3ff85436a32ce,2024-09-02 23:28:30
5,4,4,4,5,2,,5,,,,4,2,2,4,,4,5,5,5,4,,,,5,5,1,5,4,4,4,4,4,4,2,2,3,1,34,3,Peds Acute Care,b794bff1e43946e09dcc13dd2b63a443,2024-09-02 23:44:41
5,4,2,4,2,2,2,5,2,5,2,3,2,1,5,2,5,3,4,5,4,3,5,2,4,,1,5,2,2,3,3,3,4,2,2,2,1,2,4,Neuro Science Unit,5cdea969a8152c1147a7311033f50479,2024-09-03 00:16:58
4,5,2,3,2,2,2,4,2,4,2,3,2,2,4,2,4,2,3,2,4,,4,1,3,3,2,3,4,3,2,,,5,2,2,3,1,1,4,Vascular Access,a97b85fe79c2d93ee520b21194e955b4,2024-09-03 01:37:07
4,4,2,4,2,3,4,5,2,3,2,4,3,5,4,2,4,4,4,3,4,3,3,4,2,3,2,3,3,3,4,4,4,4,4,4,2,1,11,4,Neonatal ICU Unit 002,295af4b96b5e1ceca5b06857c11e5202,2024-09-03 01:42:25
5,3,2,5,2,1,1,5,1,5,2,4,1,1,5,1,5,4,5,4,4,4,5,1,4,5,2,5,4,4,2,3,2,4,2,2,2,1,24,4,Nursing Administration,356437bbd1e9ceaf11dfd4acfacc5398,2024-09-03 02:13:03
3,3,3,2,4,4,3,4,3,2,3,3,3,3,3,1,4,4,4,3,4,3,2,,5,5,2,3,4,4,4,5,5,1,2,2,2,1,11,1,Neonatal ICU Unit 002,479eb95fc376caff9c44a792220a0352,2024-09-03 02:14:41
5,4,1,5,4,3,3,5,1,5,2,4,3,2,5,1,5,4,4,4,5,5,4,2,,,1,5,4,4,2,2,2,4,4,2,2,1,11,1,Neonatal ICU Unit 002,054ca0b37968495448d309d5d5149b3b,2024-09-03 02:26:37
3,2,3,2,3,3,5,3,5,2,3,3,3,3,1,3,1,2,2,2,2,2,3,2,2,2,2,2,2,3,2,3,5,3,2,2,2,1,1,12,Respiratory Care 001,92db7c70ef26c30b25c8630b9dbc333f,2024-09-03 02:36:08
1,1,4,4,,4,5,4,4,2,5,3,3,4,1,5,2,3,3,3,3,3,3,4,2,3,1,2,5,4,2,,,,3,2,3,2,34,24,Materials Management,f08b832a7d9a9767055b46926bd14691,2024-09-03 03:11:25
5,4,2,4,5,2,2,5,2,4,2,4,2,2,4,2,4,5,5,5,5,5,5,2,5,5,1,5,4,5,2,2,1,3,2,2,2,1,8,4,Adult ECMO 001,b50dbee1039803a39c7018743868c022,2024-09-03 03:11:52
