A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,B01,B02,B03,C01,C02,C03,C04,C05,C06,C07,D01,D02,D03,E01,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,WA,SP,TEAM,VENDOR_UID,RESPONDED_AT
4,4,4,3,4,5,4,4,5,4,3,3,4,4,4,4,4,5,5,5,4,4,4,4,3,3,2,3,3,3,4,2,4,3,2,2,3,1,21,14,Computerized Tomography CT 001,6232ffc7f307d438bae548281e388385,2024-09-03 03:19:49
2,3,4,3,4,1,1,2,1,4,4,4,3,2,3,4,4,4,4,4,5,1,3,2,5,,2,3,4,4,1,,1,3,2,2,2,1,2,3,Nursing Unit 001,9c50794b58ecb56b23154a86dbd794ef,2024-09-03 03:34:01
5,4,3,4,4,4,5,5,4,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,5,5,4,4,4,5,2,2,3,1,18,4,Recovery Rm Amb 001,5ee41bf2a87e7c87352d300b5d0c40f5,2024-09-03 04:08:51
5,5,5,5,1,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,1,1,5,5,2,2,3,1,4,4,Surgical Services Admin 001,d93d0be588614bdf4bc3074655ff32d1,2024-09-03 04:25:10
5,4,5,2,2,2,4,4,4,2,4,3,4,4,3,4,4,4,4,4,5,,5,5,,5,2,4,5,5,5,5,5,5,2,2,2,1,6,4,Emergency Department 001,e27fdcbb0cc38270601cd81efdcbef08,2024-09-03 04:51:35
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,1,5,5,5,2,2,3,2,24,16,Administration 142,81b4e352d12ce3a7dac7ad99bd0dd75d,2024-09-03 05:03:17
5,5,,5,,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,2,2,3,2,24,16,Administration 142,b5cb818faca7277ef41079d846e25257,2024-09-03 06:23:21
5,4,2,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,4,4,4,5,3,5,2,4,5,4,4,4,4,5,2,2,2,1,21,15,Computerized Tomography CT 001,2c2d40906273e821bffa0af68913d614,2024-09-03 06:36:54
3,4,5,3,4,4,4,4,2,2,4,3,4,4,5,5,5,4,3,3,5,5,5,4,5,5,2,4,4,4,4,4,4,3,2,2,2,1,7,4,Endoscopy GI 001,bb89f763d131b74a763c6e6f910b07b1,2024-09-03 06:44:50
5,5,4,5,4,4,2,5,2,2,4,4,4,4,4,2,4,4,4,5,4,4,4,4,4,4,2,4,4,4,2,4,4,4,2,2,3,1,8,16,Critical Care Unit 001,f9aabd4a6fa2669a6aaa69412b05bea5,2024-09-03 08:00:46
