name,survey_type,level,parent,work_area,default_expected_respondent_count
Bay Beachside,HSOPS 2.0,Department,,,
SHH PanamaCty BayMedical,HSOPS 2.0,Department,,,
Freestanding ER Dept 001,HSOPS 2.0,Unit,Bay Beachside,ED/Short Stay,
Administration 142,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Admin/Mgmt,
Anesthesiology 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Cardiac Holding Recovery 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Other,
Cardiology Services Admin 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Other,
Cardiovascular Unit 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Unknown,
Case Mgmt,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Social Services, Case Management, Discharge Planning",
Central Telemetry Monitor 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Other,
Computerized Tomography CT 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Radiology/ Imaging,
Diagnostic Cardiology Anc 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Other,
Diagnostic Radiology 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Radiology/ Imaging,
Emergency Department 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,ED/Short Stay,
Emergency Services Admin 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,ED/Short Stay,
Employee Education 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Other,
Float Staffing 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Many Different Hospital Units, No Specific Unit",
Freestanding ER Dept 001 (SHH PanamaCty BayMedical),HSOPS 2.0,Unit,SHH PanamaCty BayMedical,ED/Short Stay,
General Lab Anc 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Path/Lab,
General Radiology Amb 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,ED/Short Stay,
General Radiology Amb 002,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Radiology/ Imaging,
HIM Coding Documentation 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Information Technology, Health Information Management, Clinical Informatics",
Imaging Admin 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Other,
Infection Control 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Quality, Risk Management, PAtient Safety",
Intensive Care Unit 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,ICU(All Adult Types),
Invasive Cardiology Anc 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Other,
Magnetic Resonance Imaging 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Radiology/ Imaging,
Materials Management 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Other,
Nurse Education 002,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,ED/Short Stay,
Nursing Administration 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Many Different Hospital Units, No Specific Unit",
Observation Unit 007,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,ED/Short Stay,
Ortho Neuro Nrsng Unit 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Med/Surg, Other Pt. Care Units",
Pastoral Spiritual Care 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Many Different Hospital Units, No Specific Unit",
Perioperative Care Anc 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Physical Therapy 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Many Different Hospital Units, No Specific Unit",
PreSurgery 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Recovery Room,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Rehab Administration 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Many Different Hospital Units, No Specific Unit",
Rehab Services PC,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Rehab/Phys Med,
Respiratory Care 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Respiratory Therapy,
Stepdown Intermediate Care 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,ICU(All Adult Types),
Sterile Processing 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Other,
Surgery 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Surgical Services Admin 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Total Quality Management 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Quality, Risk Management, PAtient Safety",
Trauma Services 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Many Different Hospital Units, No Specific Unit",
Ultrasound 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Radiology/ Imaging,
Volunteer Services 001,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,Other,
