name,survey_type,level,parent,work_area,default_expected_respondent_count
FL - Santa Rosa Beach-Offsite,HSOPS 2.0,Department,,,
SHH Emerald Coast,HSOPS 2.0,Department,,,
SHH PanamaCty BayMedical,HSOPS 2.0,Department,,,
Sacred Hrt Hosp Pensacola,HSOPS 2.0,Department,,,
Other Pat Services Anc 001,HSOPS 2.0,Unit,FL - Santa Rosa Beach-Offsite,Other,
Administration,HSOPS 2.0,Unit,SHH Emerald Coast,Admin/Mgmt,
Anesthesiology,HSOPS 2.0,Unit,SHH Emerald Coast,Anesthesiology,
Auxiliary,HSOPS 2.0,Unit,SHH Emerald Coast,Other,
Cardiac Cath Lab,HSOPS 2.0,Unit,SHH Emerald Coast,Other,
Cardiac Holding Recovery 001,HSOPS 2.0,Unit,SHH Emerald Coast,Unknown,
Cardiology Services Admin 001,HSOPS 2.0,Unit,SHH Emerald Coast,Other,
Case Mgmt,HSOPS 2.0,Unit,SHH Emerald Coast,"Social Services, Case Management, Discharge Planning",
Computerized Tomography CT,HSOPS 2.0,Unit,SHH Emerald Coast,Radiology/ Imaging,
Diagnostic Radiology,HSOPS 2.0,Unit,SHH Emerald Coast,Radiology/ Imaging,
Electrocardiography EKG,HSOPS 2.0,Unit,SHH Emerald Coast,Other,
Emergency Department,HSOPS 2.0,Unit,SHH Emerald Coast,ED/Short Stay,
Float Staffing 001,HSOPS 2.0,Unit,SHH Emerald Coast,"Many Different Hospital Units, No Specific Unit",
Imaging Admin 001,HSOPS 2.0,Unit,SHH Emerald Coast,Radiology/ Imaging,
Intensive Care Unit,HSOPS 2.0,Unit,SHH Emerald Coast,ICU(All Adult Types),
Labor and Delivery 001,HSOPS 2.0,Unit,SHH Emerald Coast,Labor & Deliv/Ob,
Magnetic Resonance Imaging MRI,HSOPS 2.0,Unit,SHH Emerald Coast,Radiology/ Imaging,
Mammography 001,HSOPS 2.0,Unit,SHH Emerald Coast,Radiology/ Imaging,
Materials Management,HSOPS 2.0,Unit,SHH Emerald Coast,Other,
Med Surg Unit,HSOPS 2.0,Unit,SHH Emerald Coast,"Med/Surg, Other Pt. Care Units",
Monitor Room 001,HSOPS 2.0,Unit,SHH Emerald Coast,Telemetry,
Mother Baby Unit 001,HSOPS 2.0,Unit,SHH Emerald Coast,Labor & Deliv/Ob,
Neonatal ICU Unit 001,HSOPS 2.0,Unit,SHH Emerald Coast,"Peds, NICU, PICU",
Nuclear Medicine 001,HSOPS 2.0,Unit,SHH Emerald Coast,Radiology/ Imaging,
Nursing Administration,HSOPS 2.0,Unit,SHH Emerald Coast,Admin/Mgmt,
Observation Unit 001,HSOPS 2.0,Unit,SHH Emerald Coast,ED/Short Stay,
Other Pat Services Anc 001 (SHH Emerald Coast),HSOPS 2.0,Unit,SHH Emerald Coast,Other,
Pastoral Care Spiritual Care,HSOPS 2.0,Unit,SHH Emerald Coast,"Many Different Hospital Units, No Specific Unit",
Patient Access Admitting 002,HSOPS 2.0,Unit,SHH Emerald Coast,Labor & Deliv/Ob,
Patient Education,HSOPS 2.0,Unit,SHH Emerald Coast,Other,
Patient Education 002,HSOPS 2.0,Unit,SHH Emerald Coast,Labor & Deliv/Ob,
Physical Therapy,HSOPS 2.0,Unit,SHH Emerald Coast,"Many Different Hospital Units, No Specific Unit",
PositronEmissionTomography PET,HSOPS 2.0,Unit,SHH Emerald Coast,Radiology/ Imaging,
Pre Surgery,HSOPS 2.0,Unit,SHH Emerald Coast,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Recovery Room,HSOPS 2.0,Unit,SHH Emerald Coast,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Rehab Administration 001,HSOPS 2.0,Unit,SHH Emerald Coast,Rehab/Phys Med,
Rehab Services Ambulatory 001,HSOPS 2.0,Unit,SHH Emerald Coast,"Many Different Hospital Units, No Specific Unit",
Respiratory Care 001,HSOPS 2.0,Unit,SHH Emerald Coast,"Many Different Hospital Units, No Specific Unit",
Sterile Processing 001,HSOPS 2.0,Unit,SHH Emerald Coast,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Surgery,HSOPS 2.0,Unit,SHH Emerald Coast,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Surgical Services Admin 001,HSOPS 2.0,Unit,SHH Emerald Coast,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Total Quality Management,HSOPS 2.0,Unit,SHH Emerald Coast,"Quality, Risk Management, PAtient Safety",
Ultrasound,HSOPS 2.0,Unit,SHH Emerald Coast,Radiology/ Imaging,
Wound Care 001,HSOPS 2.0,Unit,SHH Emerald Coast,"Many Different Hospital Units, No Specific Unit",
Infection Control,HSOPS 2.0,Unit,SHH PanamaCty BayMedical,"Many Different Hospital Units, No Specific Unit",
HIM Coding Documentation 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Many Different Hospital Units, No Specific Unit",
