name,survey_type,level,parent,work_area,default_expected_respondent_count
SHH Gulf,HSOPS 2.0,Department,,,
Administration,HSOPS 2.0,Unit,SHH Gulf,"Many Different Hospital Units, No Specific Unit",
Auxiliary,HSOPS 2.0,Unit,SHH Gulf,"Many Different Hospital Units, No Specific Unit",
Computerized Tomography CT,HSOPS 2.0,Unit,SHH Gulf,Radiology/ Imaging,
Diagnostic Radiology,HSOPS 2.0,Unit,SHH Gulf,Radiology/ Imaging,
Electrocardiography EKG,HSOPS 2.0,Unit,SHH Gulf,Radiology/ Imaging,
Emergency Department,HSOPS 2.0,Unit,SHH Gulf,ED/Short Stay,
Materials Management,HSOPS 2.0,Unit,SHH Gulf,Other,
Med Surg Unit,HSOPS 2.0,Unit,SHH Gulf,"Med/Surg, Other Pt. Care Units",
Nuclear Medicine 001,HSOPS 2.0,Unit,SHH Gulf,Radiology/ Imaging,
Recovery Room,HSOPS 2.0,Unit,SHH Gulf,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Rehab Services General OP 001,HSOPS 2.0,Unit,SHH Gulf,Rehab/Phys Med,
Respiratory Care 001,HSOPS 2.0,Unit,SHH Gulf,"Many Different Hospital Units, No Specific Unit",
Surgery,HSOPS 2.0,Unit,SHH Gulf,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Ultrasound,HSOPS 2.0,Unit,SHH Gulf,Radiology/ Imaging,
