name,survey_type,level,parent,work_area,default_expected_respondent_count
ASH Corner of Twelfth & Summit,HSOPS 2.0,Department,,,
ASH PBP Lynn Haven,HSOPS 2.0,Department,,,
ASH Rehab Gulf Breeze,HSOPS 2.0,Department,,,
ASH Rehab Pensacola,HSOPS 2.0,Department,,,
Airport Medical Park,HSOPS 2.0,Department,,,
Bldg Properties Admin,HSOPS 2.0,Department,,,
Carmel Heights Building,HSOPS 2.0,Department,,,
FL - Jacksonville - Offsite,HSOPS 2.0,Department,,,
FL - Pensacola - Offsite,HSOPS 2.0,Department,,,
Freestanding ER?? Dept 001,HSOPS 2.0,Department,,,
Freestanding ER?? Dept 002,HSOPS 2.0,Department,,,
Professional Office Building,HSOPS 2.0,Department,,,
SH Medical Oncology Grp Airpor,HSOPS 2.0,Department,,,
SH Medical Oncology Grp Destin,HSOPS 2.0,Department,,,
SHMG Ortho Rehab,HSOPS 2.0,Department,,,
Sacred Heart Children's Hsptl,HSOPS 2.0,Department,,,
Sacred Heart Residency,HSOPS 2.0,Department,,,
Sacred Hrt Hosp Pensacola,HSOPS 2.0,Department,,,
UF OB Residency,HSOPS 2.0,Department,,,
Diagnostic Rad Amb 004,HSOPS 2.0,Unit,ASH Corner of Twelfth & Summit,Radiology/ Imaging,
PBP Oncology 004,HSOPS 2.0,Unit,ASH PBP Lynn Haven,"Oncology, Hematology",
Rehab Administration 001,HSOPS 2.0,Unit,ASH Rehab Gulf Breeze,Other,
Rehab Administration 001 (ASH Rehab Pensacola),HSOPS 2.0,Unit,ASH Rehab Pensacola,Other,
Diagnostic Radiology Airport,HSOPS 2.0,Unit,Airport Medical Park,Radiology/ Imaging,
Sterile Processing 001,HSOPS 2.0,Unit,Bldg Properties Admin,Other,
Auxiliary,HSOPS 2.0,Unit,Carmel Heights Building,Admin/Mgmt,
Patient Education,HSOPS 2.0,Unit,Carmel Heights Building,"Many Different Hospital Units, No Specific Unit",
HIM Coding Documentation,HSOPS 2.0,Unit,FL - Jacksonville - Offsite,Other,
HIM Coding Documentation (FL - Pensacola - Offsite),HSOPS 2.0,Unit,FL - Pensacola - Offsite,"Information Technology, Health Information Management, Clinical Informatics",
Freestanding ER Dept 001,HSOPS 2.0,Unit,Freestanding ER?? Dept 001,ED/Short Stay,
Freestanding ER Dept 002,HSOPS 2.0,Unit,Freestanding ER?? Dept 002,ED/Short Stay,
Grants Early Steps,HSOPS 2.0,Unit,Professional Office Building,"Many Different Hospital Units, No Specific Unit",
Medical Oncology Airport,HSOPS 2.0,Unit,SH Medical Oncology Grp Airpor,"Financial Services, Billing",
Medical Oncology Destin,HSOPS 2.0,Unit,SH Medical Oncology Grp Destin,Other,
Rehab Services Ambulatory 001,HSOPS 2.0,Unit,SHMG Ortho Rehab,Rehab/Phys Med,
Admin Pediatric Svcs 001,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,"Many Different Hospital Units, No Specific Unit",
Ambulance Ground Peds,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,Other,
Emergency Department Peds,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,ED/Short Stay,
Infusion Services 001,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,Other,
Mother Baby Unit 001,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,Labor & Deliv/Ob,
Neonatal ICU,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,"Peds, NICU, PICU",
Neonatal ICU Unit 002,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,"Peds, NICU, PICU",
Pediatric ICU Unit 001,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,"Peds, NICU, PICU",
Pediatric Rehab Services,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,"Peds, NICU, PICU",
Pediatric Rehab Svcs 002,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,"Peds, NICU, PICU",
Pediatric Support Svcs 001,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,"Oncology, Hematology",
Peds Acute Care,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,"Peds, NICU, PICU",
Peds Surgery 001,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Respiratory Care Pediatrics,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,"Peds, NICU, PICU",
Surgery Recovery Room 001,HSOPS 2.0,Unit,Sacred Heart Children's Hsptl,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Resident Mgmt Suprt Srvcs 001,HSOPS 2.0,Unit,Sacred Heart Residency,"Human Resources, Training",
Administration,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Admin/Mgmt,
Adult ECMO 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,ICU(All Adult Types),
Anesthesiology,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Other,
Auxiliary (Sacred Hrt Hosp Pensacola),HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Other,
Bariatric Surgical Unit 001,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,"Med/Surg, Other Pt. Care Units",
Cardiac Care,HSOPS 2.0,Unit,Sacred Hrt Hosp Pensacola,Unknown,
