name,survey_type,level,parent,work_area,default_expected_respondent_count
ASV Clay County Hospital,HSOPS 2.0,Department,,,
Optimal Imaging - Middleburg,HSOPS 2.0,Department,,,
2W Medical,HSOPS 2.0,Unit,ASV Clay County Hospital,"Med/Surg, Other Pt. Care Units",
Administration 005,HSOPS 2.0,Unit,ASV Clay County Hospital,Admin/Mgmt,
Breast Health Services 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Radiology/ Imaging,
Cardiac Cath Labs Anc 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Unknown,
Cardiac Holding Recovery 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Unknown,
Cardiac Nuclear Med Amb 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Radiology/ Imaging,
Case Mgmt,HSOPS 2.0,Unit,ASV Clay County Hospital,"Social Services, Case Management, Discharge Planning",
Computerized Tomography CT 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Radiology/ Imaging,
Diabetes Education,HSOPS 2.0,Unit,ASV Clay County Hospital,"Many Different Hospital Units, No Specific Unit",
Diagnostic Cardiology Anc 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Unknown,
Diagnostic Radiology 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Radiology/ Imaging,
Emergency Department 001,HSOPS 2.0,Unit,ASV Clay County Hospital,ED/Short Stay,
Endoscopy GI 001,HSOPS 2.0,Unit,ASV Clay County Hospital,"Endoscopy, Colonoscopy",
IP Wound Care 001,HSOPS 2.0,Unit,ASV Clay County Hospital,"Many Different Hospital Units, No Specific Unit",
LDRPN Unit 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Labor & Deliv/Ob,
Lactation Center 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Labor & Deliv/Ob,
MICU,HSOPS 2.0,Unit,ASV Clay County Hospital,ICU(All Adult Types),
Magnetic Resonance Imaging 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Radiology/ Imaging,
Materials Management 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Other,
Neonatal ICU Unit 001,HSOPS 2.0,Unit,ASV Clay County Hospital,"Peds, NICU, PICU",
Nuclear Medicine 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Radiology/ Imaging,
Nursing Administration,HSOPS 2.0,Unit,ASV Clay County Hospital,"Many Different Hospital Units, No Specific Unit",
Nursing Unit 001,HSOPS 2.0,Unit,ASV Clay County Hospital,"Med/Surg, Other Pt. Care Units",
OB Triage 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Labor & Deliv/Ob,
Occupational Therapy 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Rehab/Phys Med,
Orthopedics Unit 001,HSOPS 2.0,Unit,ASV Clay County Hospital,"Med/Surg, Other Pt. Care Units",
Pastoral Spiritual Care 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Telemetry,
Patient Transportation 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Radiology/ Imaging,
Pharmacy Services General 001,HSOPS 2.0,Unit,ASV Clay County Hospital,ED/Short Stay,
Physical Therapy 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Rehab/Phys Med,
Physician Support Services 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Admin/Mgmt,
PreSurgery 001,HSOPS 2.0,Unit,ASV Clay County Hospital,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Rapid Deployment Team 001,HSOPS 2.0,Unit,ASV Clay County Hospital,"Many Different Hospital Units, No Specific Unit",
Recovery Rm Amb 001,HSOPS 2.0,Unit,ASV Clay County Hospital,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Respiratory Care 001,HSOPS 2.0,Unit,ASV Clay County Hospital,"Many Different Hospital Units, No Specific Unit",
Security 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Security Services,
Speech Therapy 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Telemetry,
Stepdown Intermediate Care 001,HSOPS 2.0,Unit,ASV Clay County Hospital,ICU(All Adult Types),
Sterile Processing 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Surg Svcs,
Surgery 002,HSOPS 2.0,Unit,ASV Clay County Hospital,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Surgical Services Admin 001,HSOPS 2.0,Unit,ASV Clay County Hospital,,
Ultrasound 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Radiology/ Imaging,
Vascular Venous Access PICC,HSOPS 2.0,Unit,ASV Clay County Hospital,ED/Short Stay,
Volunteer Services 001,HSOPS 2.0,Unit,ASV Clay County Hospital,Admin/Mgmt,
Diagnostic Radiology Amb 002,HSOPS 2.0,Unit,Optimal Imaging - Middleburg,Radiology/ Imaging,
