name,survey_type,level,parent,work_area,default_expected_respondent_count
ASV Riverside Hospital,HSOPS 2.0,Department,,,
Freestanding ER Collins,HSOPS 2.0,Department,,,
Optimal Imaging - Riverside,HSOPS 2.0,Department,,,
SV Health Center Mandarin,HSOPS 2.0,Department,,,
SV Health Center St. Johns,HSOPS 2.0,Department,,,
Administration 005,HSOPS 2.0,Unit,ASV Riverside Hospital,Admin/Mgmt,
Anesthesiology 003,HSOPS 2.0,Unit,ASV Riverside Hospital,Anesthesiology,
Bariatric Support Svcs 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Other,
Bariatric Surgical Unit 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Surg Svcs,
Breast Health Services 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Radiology/ Imaging,
CCU,HSOPS 2.0,Unit,ASV Riverside Hospital,ICU(All Adult Types),
Cardiac Cath Labs Anc 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Other,
Cardiac Critical Care Unit,HSOPS 2.0,Unit,ASV Riverside Hospital,ICU(All Adult Types),
Cardiac Holding Recovery 001,HSOPS 2.0,Unit,ASV Riverside Hospital,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Cardiac Nuclear Med Amb 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Other,
Cardiac Nuclear Med Amb 002,HSOPS 2.0,Unit,ASV Riverside Hospital,Radiology/ Imaging,
Cardiac Rehabilitation Anc 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Other,
Cardiology Services Admin 001,HSOPS 2.0,Unit,ASV Riverside Hospital,"Med/Surg, Other Pt. Care Units",
Case Mgmt,HSOPS 2.0,Unit,ASV Riverside Hospital,"Social Services, Case Management, Discharge Planning",
College Programs 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Radiology/ Imaging,
Computerized Tomography CT 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Radiology/ Imaging,
Critical Care Unit 001,HSOPS 2.0,Unit,ASV Riverside Hospital,ICU(All Adult Types),
Diabetes Education,HSOPS 2.0,Unit,ASV Riverside Hospital,"Med/Surg, Other Pt. Care Units",
Diagnostic Cardiology Anc 001,HSOPS 2.0,Unit,ASV Riverside Hospital,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Diagnostic Radiology 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Radiology/ Imaging,
Electrophysiology Lab Anc 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Unknown,
Emergency Department 001,HSOPS 2.0,Unit,ASV Riverside Hospital,ED/Short Stay,
Endoscopy GI 001,HSOPS 2.0,Unit,ASV Riverside Hospital,"Endoscopy, Colonoscopy",
Float Staffing 001,HSOPS 2.0,Unit,ASV Riverside Hospital,ICU(All Adult Types),
IP Wound Care 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Other,
Imaging Admin 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Radiology/ Imaging,
Infusion Ambulatory 001,HSOPS 2.0,Unit,ASV Riverside Hospital,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Lab Hematology Anc 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Path/Lab,
Lab Outreach Amb 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Path/Lab,
Lab Support Services 003,HSOPS 2.0,Unit,ASV Riverside Hospital,Path/Lab,
Magnetic Resonance Imaging 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Radiology/ Imaging,
Mammography 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Radiology/ Imaging,
Materials Management 001,HSOPS 2.0,Unit,ASV Riverside Hospital,Other,
Medical Surgical,HSOPS 2.0,Unit,ASV Riverside Hospital,"Med/Surg, Other Pt. Care Units",
Nursing Administration 001,HSOPS 2.0,Unit,ASV Riverside Hospital,"Many Different Hospital Units, No Specific Unit",
Nursing Surgical Unit 001,HSOPS 2.0,Unit,ASV Riverside Hospital,"Med/Surg, Other Pt. Care Units",
