name,survey_type,level,parent,work_area,default_expected_respondent_count
ASV Southside Hospital,HSOPS 2.0,Department,,,
Freestanding ER Arlington,HSOPS 2.0,Department,,,
WV - Morgantown - Offsite,HSOPS 2.0,Department,,,
Acute Rehab Unit 001,HSOPS 2.0,Unit,ASV Southside Hospital,Rehab/Phys Med,
Administration 005,HSOPS 2.0,Unit,ASV Southside Hospital,"Many Different Hospital Units, No Specific Unit",
Bariatric Surgical Unit 001,HSOPS 2.0,Unit,ASV Southside Hospital,"Med/Surg, Other Pt. Care Units",
Breast Health Services 001,HSOPS 2.0,Unit,ASV Southside Hospital,Radiology/ Imaging,
Cardiac Cath Labs Anc 001,HSOPS 2.0,Unit,ASV Southside Hospital,Unknown,
Cardiac Holding Recovery 001,HSOPS 2.0,Unit,ASV Southside Hospital,Unknown,
Cardiovascular Unit 001,HSOPS 2.0,Unit,ASV Southside Hospital,Unknown,
Case Mgmt,HSOPS 2.0,Unit,ASV Southside Hospital,"Social Services, Case Management, Discharge Planning",
Computerized Tomography CT 001,HSOPS 2.0,Unit,ASV Southside Hospital,Radiology/ Imaging,
Critical Care Unit 001,HSOPS 2.0,Unit,ASV Southside Hospital,ICU(All Adult Types),
Diagnostic Cardiology Anc 002,HSOPS 2.0,Unit,ASV Southside Hospital,Unknown,
Diagnostic Radiology 001,HSOPS 2.0,Unit,ASV Southside Hospital,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Dietary 001,HSOPS 2.0,Unit,ASV Southside Hospital,"Food Services, Dietary",
Emergency Department 001,HSOPS 2.0,Unit,ASV Southside Hospital,ED/Short Stay,
Endoscopy GI 001,HSOPS 2.0,Unit,ASV Southside Hospital,"Endoscopy, Colonoscopy",
Float Staffing 001,HSOPS 2.0,Unit,ASV Southside Hospital,"Many Different Hospital Units, No Specific Unit",
Imaging Admin 001,HSOPS 2.0,Unit,ASV Southside Hospital,Radiology/ Imaging,
Interventional Radiology 001,HSOPS 2.0,Unit,ASV Southside Hospital,Radiology/ Imaging,
LDRPN Unit 001,HSOPS 2.0,Unit,ASV Southside Hospital,Labor & Deliv/Ob,
Lactation Center 001,HSOPS 2.0,Unit,ASV Southside Hospital,Labor & Deliv/Ob,
Magnetic Resonance Imaging 001,HSOPS 2.0,Unit,ASV Southside Hospital,Radiology/ Imaging,
Materials Management 001,HSOPS 2.0,Unit,ASV Southside Hospital,Medical Unit (Non Surgical),
Neonatal ICU Unit 001,HSOPS 2.0,Unit,ASV Southside Hospital,"Peds, NICU, PICU",
Neurodiagnostic Lab 001,HSOPS 2.0,Unit,ASV Southside Hospital,"Many Different Hospital Units, No Specific Unit",
Nursing Administration 001,HSOPS 2.0,Unit,ASV Southside Hospital,Admin/Mgmt,
OB Triage 001,HSOPS 2.0,Unit,ASV Southside Hospital,Labor & Deliv/Ob,
Occupational Therapy 001,HSOPS 2.0,Unit,ASV Southside Hospital,"Many Different Hospital Units, No Specific Unit",
Orthopedics Unit 002,HSOPS 2.0,Unit,ASV Southside Hospital,Surg Svcs,
Othr Specialty Nrsng Unit 006,HSOPS 2.0,Unit,ASV Southside Hospital,"Med/Surg, Other Pt. Care Units",
Pastoral Spiritual Care 001,HSOPS 2.0,Unit,ASV Southside Hospital,"Many Different Hospital Units, No Specific Unit",
Patient Transportation 001,HSOPS 2.0,Unit,ASV Southside Hospital,Other,
Pharmacy Services General 001,HSOPS 2.0,Unit,ASV Southside Hospital,ED/Short Stay,
Physical Therapy 001,HSOPS 2.0,Unit,ASV Southside Hospital,"Many Different Hospital Units, No Specific Unit",
PreSurgery 001,HSOPS 2.0,Unit,ASV Southside Hospital,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Rapid Deployment Team 001,HSOPS 2.0,Unit,ASV Southside Hospital,ICU(All Adult Types),
Recovery Rm Amb 001,HSOPS 2.0,Unit,ASV Southside Hospital,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Rehab Administration 001,HSOPS 2.0,Unit,ASV Southside Hospital,Rehab/Phys Med,
Rehab Services General 001,HSOPS 2.0,Unit,ASV Southside Hospital,Rehab/Phys Med,
Respiratory Care 001,HSOPS 2.0,Unit,ASV Southside Hospital,"Many Different Hospital Units, No Specific Unit",
Revenue Cycle Mgmt 002,HSOPS 2.0,Unit,ASV Southside Hospital,Radiology/ Imaging,
Security 001,HSOPS 2.0,Unit,ASV Southside Hospital,Security Services,
Speech Therapy 001,HSOPS 2.0,Unit,ASV Southside Hospital,Rehab/Phys Med,
Stepdown Intermediate Care 001,HSOPS 2.0,Unit,ASV Southside Hospital,Unknown,
Sterile Processing 001,HSOPS 2.0,Unit,ASV Southside Hospital,Other,
Surgery 002,HSOPS 2.0,Unit,ASV Southside Hospital,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",
Surgical Services Admin 001,HSOPS 2.0,Unit,ASV Southside Hospital,Other,
Telemetry Nursing Unit 002,HSOPS 2.0,Unit,ASV Southside Hospital,"Med/Surg, Other Pt. Care Units",
Ultrasound 001,HSOPS 2.0,Unit,ASV Southside Hospital,Radiology/ Imaging,
Vascular Venous Access PICC,HSOPS 2.0,Unit,ASV Southside Hospital,"Many Different Hospital Units, No Specific Unit",
Volunteer Services 001,HSOPS 2.0,Unit,ASV Southside Hospital,Other,
Freestanding ER Dept 001,HSOPS 2.0,Unit,Freestanding ER Arlington,ED/Short Stay,
Rehab Administration 001 (WV - Morgantown - Offsite),HSOPS 2.0,Unit,WV - Morgantown - Offsite,Rehab/Phys Med,
